Issue Type,Summary,Description,Story Points,Labels,Component,Epic Link,Phase
Epic,KMP Shared Module,"Extract data models, HTTP client, auth, and selected business logic into a Kotlin Multiplatform shared module for Android and iOS reuse. Covers roadmap items 1.1, 1.2, 1.3, and 2.4.",34,kmp,shared-module,,"1, 2"
Epic,Android Modernization,"Replace AsyncTask with coroutines, introduce Repositories and ViewModels across all screens, migrate to Room and Navigation Component, adopt Jetpack Compose, modernize the TV experience, and optimise performance. Covers roadmap items 1.4–1.8, 1.10, 2.1–2.3, 2.5, 2.8, 2.9.",148,"modernization, architecture",app,,"1, 2"
Epic,Observability and Refactoring,"Establish structured logging across six modules and two processes, then add distributed tracing, error taxonomy, and a metrics dashboard. Covers roadmap items 0.3 and 2.6.",16,"observability, refactor","audio, video, download, dash, playback, ebook/server",,"0, 2"
Epic,Accessibility,"Remediate all WCAG 2.1 AA findings across three priority tiers: Critical (Phase 0), High (Phase 1), and Medium (Phase 2). Covers roadmap items 0.4, 1.9, and 2.7.",15,accessibility,"ui, ui/widget, layout resources",,"0, 1, 2"
Epic,Test and Architecture Foundations,"Rotate exposed credentials, wire Hilt DI into the app's base classes, and establish CI test-coverage measurement and enforcement. Covers roadmap items 0.2, 0.5, and 0.6.",10,"testing, architecture, security","app, ci",,0
Story,Rotate exposed credentials and harden manifest,"Google Maps API key, Branch.io live and test keys are hardcoded in AndroidManifest.xml. TestEbookReaderActivity exposes dev hostnames in production. Remove all keys from the manifest, inject via build-time config, rotate on the provider side, and gate the test activity to debug builds. See stories/E-1_Rotate_Credentials.md for full acceptance criteria.",2,"security, architecture","app, manifest",E-E — Test and Architecture Foundations,0
Story,Wire Hilt DI foundation into BaseActivity and BaseFragment,Replace FrameworkServiceFactory.getInstance() calls in BaseActivity and BaseFragment with Hilt @Inject fields. Declare FrameworkService as a @Singleton Hilt module. Do not touch individual controllers — that is Phase 1. See stories/E-2_Hilt_DI_Foundation.md for full acceptance criteria.,5,architecture,"app, service/factory, ui/activity, ui/fragment",E-E — Test and Architecture Foundations,0
Story,Establish CI test-coverage baseline and define per-module thresholds,Instrument CI to measure unit and integration test coverage per package. Document the baseline (expected near-zero for app code). Define per-module minimum thresholds. Configure CI to fail on threshold violations. Verify coverage works on the KMP shared module. See stories/E-3_Test_Coverage_Baseline.md for full acceptance criteria.,3,testing,"ci, app",E-E — Test and Architecture Foundations,0
Story,Establish structured logging baseline across six modules,"Add structured log entries for playback state transitions, download lifecycle events, DRM license events, and ebook-server requests across audio/, video/, download/, dash/, playback/, and ebook/server/. Wire Bugsnag breadcrumbs with content ID and playback state. Ensure logs from all three processes (Main, :AudioPlayback, :Downloads) are aggregated. See stories/C-1_Observability_Baseline.md for full acceptance criteria.",8,"observability, refactor","audio, video, download, dash, playback, ebook/server",E-C — Observability and Refactoring,0
Story,"Advanced observability: trace spans, error taxonomy, and metrics dashboard","Add distributed trace spans for the pre-playback sequence (geo-check → license fetch → player init → first frame). Define an error-category taxonomy (network, DRM, timeout, auth) and tag every Bugsnag report. Create a metrics dashboard with buffering rate, download failure rate, seek latency, DRM renewal success rate, and playback-start p95 latency. See stories/C-2_Advanced_Observability.md for full acceptance criteria.",8,observability,"audio, video, dash, playback",E-C — Observability and Refactoring,2
